question,temporality,feature,label,mode,model,f1_binary_mean,f1_binary_std,f1_macro_mean,f1_macro_std
3,False,all,depression,selection feature,LogisticRegression,0.29333333333333333,0.2890597785157173,0.4655050505050505,0.1998589889081883
3,False,all,depression,selection feature,GradientBoostingClassifier,0.27999999999999997,0.1591644851508443,0.45,0.05137011669140813
3,False,all,depression,selection feature,KNeighborsClassifier,0.27999999999999997,0.2588435821108957,0.4616161616161616,0.22136168321651636
3,False,all,depression,selection feature,RandomForestClassifier,0.08,0.1788854381999832,0.36050505050505055,0.13309800935351354
3,False,all,depression,selection feature,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
3,False,all,depression,PCA,LinearSVC,0.3980952380952381,0.41635498546661176,0.5347619047619048,0.29666216545626833
3,False,all,depression,PCA,LogisticRegression,0.31333333333333335,0.30147784145586703,0.4997008547008547,0.19842350210090723
3,False,all,depression,PCA,KNeighborsClassifier,0.3066666666666667,0.3319973226130329,0.41343434343434343,0.31260292662696115
3,False,all,depression,PCA,GaussianNB,0.2942857142857143,0.2754588009492675,0.4776190476190476,0.15328600275124857
3,False,all,depression,PCA,SVC,0.26,0.3714835124201342,0.48555555555555563,0.2489360074446225
3,False,all,depression,PCA,DecisionTreeClassifier,0.24666666666666667,0.23285665595430638,0.43454545454545457,0.15873481070186943
3,False,all,depression,PCA,GradientBoostingClassifier,0.2333333333333333,0.22360679774997896,0.42383838383838385,0.15597125682580376
3,False,all,depression,PCA,RandomForestClassifier,0.08,0.1788854381999832,0.36076146076146076,0.11537265889459049
3,False,all,depression,PCA,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
3,False,all,depression,t-SNE,GradientBoostingClassifier,0.6133333333333334,0.2022100118413747,0.6988383838383838,0.14846204215701905
3,False,all,depression,t-SNE,DecisionTreeClassifier,0.5066666666666666,0.14605934866804426,0.6093939393939394,0.09116221074822177
3,False,all,depression,t-SNE,GaussianNB,0.4076190476190476,0.3808571309494039,0.5009523809523809,0.23968148848713033
3,False,all,depression,t-SNE,LinearSVC,0.3657142857142857,0.3716482866630651,0.5034920634920634,0.24425471919871683
3,False,all,depression,t-SNE,LogisticRegression,0.3180952380952381,0.35351169929996673,0.49835164835164836,0.21731693451925882
3,False,all,depression,t-SNE,KNeighborsClassifier,0.24000000000000005,0.3577708763999664,0.44666666666666666,0.2502344579601644
3,False,all,depression,t-SNE,SVC,0.2333333333333333,0.32489314482696546,0.47106060606060607,0.19241111861712437
3,False,all,depression,t-SNE,RandomForestClassifier,0.08,0.17888543819998318,0.3996503496503497,0.08604351329246124
3,False,all,depression,t-SNE,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
3,False,all,depression,SMOTE,GradientBoostingClassifier,0.5914285714285714,0.22122110096056405,0.6536507936507936,0.18053558235942965
3,False,all,depression,SMOTE,LinearSVC,0.4514285714285714,0.3283712295544373,0.580018315018315,0.2001926007106036
3,False,all,depression,SMOTE,GaussianNB,0.42666666666666664,0.39327683210007003,0.5283333333333333,0.25694369369259684
3,False,all,depression,SMOTE,DecisionTreeClassifier,0.41571428571428565,0.32389529676317635,0.5023809523809524,0.24302048661810335
3,False,all,depression,SMOTE,KNeighborsClassifier,0.35,0.2850438562747845,0.315,0.250235999719376
3,False,all,depression,SMOTE,LogisticRegression,0.3180952380952381,0.35351169929996673,0.49835164835164836,0.21731693451925882
